design.ID,variable_id,Values,Definition for TRUE,Linguistic note regarding definition,Motivation external to existing categories in PHOIBLE/WALS,Motivation for variable creation
D-PH4WA-01,o_PHOIBLE_BAF_uvulars_presence,"TRUE, FALSE","consonantal %in% '+' & coronal %in% '-' & dorsal %in% '+' & low %in% '-' & back %in% c('+','+,-','-,+')",,0,Creation of a variable tracking the presence of uvulars to enrich the data from WALS_6A Uvular Consonants
D-PH4WA-02,o_PHOIBLE_BAF_glottalizedResonants_presence,"TRUE, FALSE","consonantal %in% '+' & sonorant %in% '+' & constrictedGlottis %in% c('+','+,-')",,0,Creation of a variable tracking the presence of glottalized resonants to enrich the data from WALS_7A Glottalized Consonants
D-PH4WA-03,o_PHOIBLE_BAF_lateralObstruents_presence,"TRUE, FALSE","sonorant %in% '-' & lateral %in% c('+','-,+') & continuant %in% c('+','-,+') & click %in% '-'",,0,Creation of a variable tracking the presence of lateral obstruents to enrich the data from WALS_8A Lateral Consonants
D-PH4WA-04,o_PHOIBLE_BAF_nasals_presence,"TRUE, FALSE",sonorant %in% '+' & approximant %in% '-',,0,Creation of a variable tracking the presence of nasals to enrich the data from WALS_18A Absence of Common Consonants
D-PH4WA-06,o_PHOIBLE_BAF_fricatives_presence,"TRUE, FALSE",sonorant %in% '-' & continuant %in% '+' & consonantal %in% '+',,0,Creation of a variable tracking the presence of fricatives to enrich the data from WALS_18A Absence of Common Consonants
D-PH4WA-07,o_PHOIBLE_BAF_velarNasals_presence,"TRUE, FALSE",dorsal %in% '+' & nasal %in% '+' & consonantal %in% '+' & coronal %in% '-' & sonorant %in% '+' & back %in% '-' & click %in% '-',,0,Creation of a variable tracking the presence of velar nasals to enrich the data from WALS_9A The Velar Nasal
D-PH4WA-08,o_PHOIBLE_BAF_nasalizedVowels_presence,"TRUE, FALSE","syllabic %in% '+' & consonantal %in% '-' & nasal %in% c('+', '-,+', '+,-')",,0,Creation of a variable tracking the presence of nasalized vowels to enrich the data from WALS_10A Vowel Nasalization
D-PH4WA-09,o_PHOIBLE_BAF_frontRoundVowels_presence,"TRUE, FALSE",syllabic %in% '+' & consonantal %in% '-' & front %in% '+' & round %in% '+',,0,Creation of a variable tracking the presence of front rounded vowels to enrich the data from WALS_11A Front Rounded Vowels
D-PH4WA-10,o_PHOIBLE_BAF_interdentals_presence,"TRUE, FALSE",(consonantal %in% '+' & continuant %in% '+' & tap %in% '-' & trill %in% '-' & lateral %in% '-' & coronal %in% '+' & anterior %in% '+' & distributed %in% '+' & strident %in% '-' & dorsal %in% '-') | (consonantal %in% '+' & continuant %in% '-' & sonorant %in% '-' & delayedRelease %in% '+' & coronal %in% '+' & anterior %in% '+' & distributed %in% '+' & strident %in% '-' & dorsal %in% '-'),"The first component tracks interdentals, the second tracks interdental affricates",0,Creation of a variable tracking the presence of interdentals to enrich the data from WALS_19A Presence of Uncommon Consonants
D-PH4WA-11,o_PHOIBLE_BAF_labialVelars_presence,"TRUE, FALSE",consonantal %in% '+' & labial %in% '+' & dorsal %in% '+' & high %in% '+' & click %in% '-',,0,Creation of a variable tracking the presence of labial velars to enrich the data from WALS_19A Presence of Uncommon Consonants
D-PH4WA-12,o_PHOIBLE_BAF_pharyngealsEpiglottals_presence,"TRUE, FALSE","(low %in% c('+','+,-') & syllabic %in% '-') | (epilaryngealSource %in% '+' & syllabic %in% '-') | (retractedTongueRoot %in% c('+','-,+','-,-,+') & syllabic %in% '-')","This definition ensures compatibility with the pharyngeals definition from WALS_19A Presence of Uncommon Consonants. The first component tracks pharyngeal consonants, the second tracks epiglottal consonants, the third tracks pharyngeal coloring",0,Creation of a variable tracking the presence of pharyngeal epiglottals to enrich the data from WALS_19A Presence of Uncommon Consonants
D-PH4WA-13,o_PHOIBLE_BAF_dentalAlveolarVoicedLateralApproximant_presence,"TRUE, FALSE","lateral %in% c('+','-,-,+','-,+','-,+,-','+,-','0,-,+') & approximant %in% c('+','+,-','-,+','-,-,+') & dorsal %in% c('-','-,+','+,-') & anterior %in% '+'",,0,Creation of a variable tracking the presence of glottalized resonants to enrich the data from WALS_7A Glottalized Consonants
D-PH4WA-14,o_PHOIBLE_BAF_loweredLarynxImplosives_presence,"TRUE, FALSE","loweredLarynxImplosive %in% c('+','-,+','+,-')",,0,Creation of a variable tracking the presence of implosives to enrich the data from WALS_7A Glottalized Consonants
D-PH4WA-15,o_PHOIBLE_BAF_raisedLarynxEjectives_presence,"TRUE, FALSE","raisedLarynxEjective %in% c('+','-,+','-,-,+')",,0,Creation of a variable tracking the presence of implosives to enrich the data from WALS_7A Glottalized Consonants
D-PH4WA-16,o_PHOIBLE_BAF_clicks_presence,"TRUE, FALSE","click %in% c('+','-,+','+,-')",,0,Creation of a variable tracking the presence of interdentals to enrich the data from WALS_19A Presence of Uncommon Consonants
D-PH4WA-17,o_PHOIBLE_BAF_tone_presence,"TRUE, FALSE",tone %in% '+',,0,Creation of a variable tracking the presence of ejectives to enrich the data from WALS_13A Tone
D-PH4WA-18,o_PHOIBLE_BAF_bilabials_presence,"TRUE, FALSE",consonantal %in% '+' & labial %in% '+' & labiodental %in% '-',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-01,o_PHOIBLE_BAF_affricates_presence,"TRUE, FALSE","(continuant %in% '-' & delayedRelease %in% '+' & click %in% '-' & nasal %in% '-') | (continuant %in% '-,+' & delayedRelease %in% '-,+' & click %in% '-' & coronal %in% '+' & nasal %in% '-') | (continuant %in% '-,+' & delayedRelease %in% c('+','-,+') & click %in% '-' & dorsal %in% '+' & nasal %in% '-') | (continuant %in% '-' & delayedRelease %in% '+' & dorsal %in% '-' & click %in% '-' & labial %in% '+' & nasal %in% '-')","Some affricate segments are written as a stop followed by a fricative in a slightly different way, and having a stop followed by a fricative if both are coronal or both are dorsal captures these. Normal affricates, more coronal affricates, more dorsal affricates.",1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-02,o_PHOIBLE_BAF_aspirated_presence,"TRUE, FALSE","spreadGlottis %in% c('+','-,+') & consonantal %in% '+' & periodicGlottalSource %in% '-'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-03,o_PHOIBLE_BAF_aspiratedFricatives_presence,"TRUE, FALSE",sonorant %in% '-' & continuant %in% '+' & spreadGlottis %in% '+' & consonantal %in% '+' & periodicGlottalSource %in% '-',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-04a,o_PHOIBLE_BAF_breathyVowels_presence,"TRUE, FALSE","spreadGlottis %in% '+' & periodicGlottalSource %in% '+' & consonantal %in% c('-','0') & syllabic %in% '+'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-04b,o_PHOIBLE_BAF_breathyConsonants_presence,"TRUE, FALSE",spreadGlottis %in% '+' & periodicGlottalSource %in% '+' & consonantal %in% '+' & syllabic %in% '-',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-05a,o_PHOIBLE_BAF_creakyVowels_presence,"TRUE, FALSE","constrictedGlottis %in% '+' & periodicGlottalSource %in% '+' & consonantal %in% c('-','0') & syllabic %in% '+'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-05b,o_PHOIBLE_BAF_creakyConsonants_presence,"TRUE, FALSE",constrictedGlottis %in% '+' & periodicGlottalSource %in% '+' & consonantal %in% '+' & syllabic %in% '-',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-06,o_PHOIBLE_BAF_glides_presence,"TRUE, FALSE",syllabic %in% '-' & consonantal %in% '-' & approximant %in% '+' & continuant %in% '+' & strident %in% '0',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-07,o_PHOIBLE_BAF_liquids_presence,"TRUE, FALSE",consonantal %in% '+' & approximant %in% '+',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-08,o_PHOIBLE_BAF_longConsonants_presence,"TRUE, FALSE","consonantal %in% '+' & long %in% c('+','+,-','-,+')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-09,o_PHOIBLE_BAF_longVowels_presence,"TRUE, FALSE","syllabic %in% '+' & consonantal %in% '-' & long %in% c('+','+,-','-,+')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-10,o_PHOIBLE_BAF_palatalLaterals_presence,"TRUE, FALSE",consonantal %in% '+' & high %in% '+' & front %in% '+' & sonorant %in% '+' & continuant %in% '+' & tap %in% '-' & lateral %in% '+',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-11,o_PHOIBLE_BAF_aspiratedStops_presence,"TRUE, FALSE","consonantal %in% '+' & continuant %in% '-' & sonorant %in% '-' & spreadGlottis %in% c('+','-,+') & periodicGlottalSource %in% '-'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-12,o_PHOIBLE_BAF_labializedConsonants_presence,"TRUE, FALSE","consonantal %in% '+' & labial %in% c('+', '-,+') & round %in% c('+','-,+','-,-,+')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-13,o_PHOIBLE_BAF_palatalAndPalatalizedObstruents_presence,"TRUE, FALSE","consonantal %in% '+' & high %in% c('+','-,+') & front %in% c('+','-,+') & sonorant %in% '-'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-14,o_PHOIBLE_BAF_palatalAndPalatalizedSonorants_presence,"TRUE, FALSE","consonantal %in% '+' & high %in% '+' & front %in% c('+','-,+') & sonorant %in% '+'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-16,o_PHOIBLE_BAF_stridents_presence,"TRUE, FALSE","strident %in% c('+','-,-,+','-,+','-,+,-','+,-','0,-,+','0,0,-,+')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-17,o_PHOIBLE_BAF_laterals_presence,"TRUE, FALSE","lateral %in% c('+','-,-,+','-,+','-,+,-','+,-','0,-,+')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-18,o_PHOIBLE_BAF_taps_presence,"TRUE, FALSE","tap %in% c('+','-,+','-,-,+')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-19,o_PHOIBLE_BAF_labiodentals_presence,"TRUE, FALSE","labiodental %in% c('+','-,+','+,-','+,+,-')",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-20,o_PHOIBLE_BAF_coronalTrills_presence,"TRUE, FALSE","trill %in% c('+', '-,+', '-,-,+', '+,-') & coronal %in% '+'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-22,o_PHOIBLE_BAF_uvularTrills_presence,"TRUE, FALSE","trill %in% c('+', '-,+', '-,-,+', '+,') & coronal %in% '-' & labial %in% '-'",,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-23,o_PHOIBLE_BAF_alveolarApproximant_presence,"TRUE, FALSE",consonantal %in% '-' & trill %in% '-' & lateral %in% '-' & coronal %in% '+' & dorsal %in% '-' & strident %in% '-',,1,Variable created to track a feature with an interesting global distribution
D-PHOIBLEBAF-24,o_PHOIBLE_BAF_retroflexConsonants_presence,"TRUE, FALSE",coronal %in% '+' & anterior %in% '-' & distributed %in% '-' & click %in% '-',,1,Variable created to track a feature with an interesting global distribution